source_vertex_id,distance_to_surface
0,0.115860
1,0.522357
2,0.596071
3,0.427916
4,0.071815
5,0.592896
6,0.657042
7,0.139704
8,0.367681
9,0.117868
10,0.019390
11,0.083549
12,0.000440
13,0.025986
14,0.085601
15,0.066226
16,0.095692
17,0.325707
18,0.213932
19,0.501924
20,0.098775
21,0.019730
22,0.135319
23,0.072350
24,1.658436
25,0.958877
26,0.862602
27,0.050225
28,0.043506
29,0.042694
30,0.055674
31,0.019603
32,0.028338
33,2.267221
34,1.412382
35,2.889143
36,1.949670
37,0.049916
38,0.041214
39,0.040800
40,0.045019
41,0.055247
42,0.075290
43,0.072012
44,0.051476
45,0.012011
46,0.122991
47,0.108817
48,0.304198
49,0.014130
50,0.091959
51,0.232688
52,3.402031
53,2.486507
54,0.327365
55,0.011415
56,0.037119
57,0.032033
58,0.045543
59,0.027965
60,0.023076
61,0.086703
62,0.012679
63,0.021294
64,0.002217
65,0.003931
66,0.003026
67,0.037916
68,0.016691
69,0.034523
70,0.023906
71,0.055962
72,0.027282
73,0.029809
74,0.065924
75,0.025463
76,0.035447
77,0.009006
78,0.092734
79,0.052700
80,0.074268
81,0.003123
82,0.060663
83,0.033305
84,0.008746
85,0.095223
86,0.127019
87,0.066287
88,0.036308
89,0.835592
90,0.484377
91,1.187068
92,3.898431
93,3.014737
94,0.022331
95,0.036346
96,0.018527
97,0.004497
98,0.021958
99,0.063965
100,0.008108
101,0.021301
102,0.002384
103,0.066424
104,0.010005
105,3.837744
106,3.554218
107,3.366696
108,3.880305
109,3.506264
110,3.553752
111,3.479311
112,4.061990
113,0.002917
114,0.040771
115,0.026054
116,0.000375
117,0.038447
118,0.047187
119,0.033459
120,0.007859
121,0.017244
122,4.095775
123,3.635603
124,4.395089
125,3.904498
126,0.000354
127,0.036918
128,0.039602
129,0.001827
130,0.046581
131,0.045221
132,0.010416
133,0.016716
134,5.152196
135,4.126592
136,4.794340
137,5.361293
138,4.219569
139,4.035007
140,0.002736
141,0.037613
142,0.033582
143,0.027068
144,0.011251
145,0.026046
146,0.019179
147,0.016679
148,0.026512
149,0.017219
150,0.059715
151,0.006910
152,0.027235
153,0.000324
154,0.015324
155,0.008552
156,0.014378
157,0.008646
158,0.020937
159,0.371991
160,0.049519
161,0.035735
162,0.020803
163,0.000845
164,0.051058
165,0.000152
166,0.009480
167,0.497393
168,0.009795
169,2.407070
170,3.719102
171,4.210540
172,0.014826
173,0.007685
174,0.791234
175,0.600210
176,0.513929
177,0.883117
178,0.546823
179,0.580193
180,0.989527
181,1.215304
182,0.430407
183,0.834364
184,1.261693
185,0.505484
186,0.601008
187,1.079873
188,0.263785
189,0.413086
190,0.338667
191,0.520627
192,0.785501
193,1.213484
194,1.172668
195,1.668588
196,1.579155
197,1.526625
198,0.930315
199,1.368895
200,0.672901
201,0.041450
202,0.298439
203,0.434815
204,0.245875
205,0.438688
206,0.703774
207,0.957577
208,1.493649
209,1.289247
210,1.927531
211,1.893035
212,1.827592
213,1.766929
214,1.764669
215,1.595668
216,1.584357
217,1.040735
218,1.390115
219,0.648924
220,0.937275
221,0.842859
222,0.165707
223,0.034740
224,0.144193
225,0.503161
226,0.116509
227,0.247074
228,0.374456
229,0.549294
230,0.811014
231,1.060519
232,1.568636
233,1.299491
234,2.017463
235,1.986688
236,1.816931
237,1.966581
238,1.773448
239,1.454375
240,0.960970
241,1.226018
242,0.530494
243,1.623444
244,1.453566
245,1.259359
246,0.236282
247,0.096709
248,0.879400
249,0.045801
250,0.058624
251,0.103703
252,0.125194
253,0.168459
254,0.239589
255,0.380043
256,0.604088
257,0.809404
258,0.998337
259,1.566959
260,1.306991
261,2.000258
262,1.991940
263,1.886230
264,1.860658
265,1.617561
266,1.634380
267,1.294508
268,0.853776
269,1.083123
270,0.948890
271,0.300095
272,2.332989
273,2.192831
274,2.972262
275,2.940237
276,2.052023
277,1.709079
278,0.474047
279,0.824293
280,0.302827
281,1.358250
282,0.043917
283,0.027377
284,0.047491
285,0.054246
286,0.122195
287,0.076658
288,0.081088
289,0.119845
290,0.211958
291,0.391812
292,0.582606
293,0.335988
294,0.223450
295,0.762194
296,1.022328
297,1.391742
298,1.179484
299,0.942091
300,1.901071
301,1.833065
302,1.544439
303,1.829088
304,1.192237
305,1.649661
306,1.408740
307,1.094758
308,0.650496
309,0.749465
310,0.096304
311,0.005235
312,0.135560
313,3.566155
314,3.745828
315,3.011857
316,3.704286
317,2.695230
318,2.139248
319,1.135624
320,0.589567
321,1.612249
322,1.875291
323,0.029731
324,0.019518
325,0.047817
326,0.060150
327,0.041659
328,0.013125
329,0.008982
330,0.011240
331,0.005895
332,0.023352
333,0.015211
334,0.035074
335,0.045736
336,0.040076
337,0.118529
338,0.085093
339,0.140517
340,0.516150
341,0.310296
342,0.773324
343,0.745380
344,0.921119
345,0.717007
346,1.688889
347,1.640391
348,1.401765
349,1.596091
350,0.962491
351,1.428297
352,0.647016
353,1.204554
354,0.893782
355,0.433696
356,0.520247
357,0.091956
358,0.032318
359,0.042020
360,0.004852
361,0.019155
362,0.055538
363,0.045070
364,0.027210
365,0.046041
366,0.165811
367,0.084627
368,0.099440
369,0.037388
370,0.094404
371,0.197591
372,0.034602
373,0.040649
374,0.218202
375,1.429272
376,1.592074
377,0.867343
378,0.290944
379,0.749629
380,3.116133
381,1.976914
382,2.784501
383,4.109103
384,4.367406
385,4.529664
386,3.543377
387,4.385978
388,3.114508
389,2.505204
390,1.320061
391,0.755594
392,2.138548
393,0.027598
394,0.000973
395,0.086228
396,0.090937
397,0.005427
398,0.026698
399,0.139893
400,0.069623
401,0.079622
402,0.027237
403,0.013734
404,0.032315
405,0.037379
406,0.038356
407,0.143677
408,0.062954
409,0.099955
410,0.069540
411,0.064215
412,0.060158
413,0.028956
414,0.025919
415,0.003047
416,0.021617
417,0.026929
418,0.027604
419,0.024782
420,0.023220
421,0.001819
422,0.000793
423,0.004114
424,0.083637
425,0.594447
426,0.429868
427,0.226316
428,0.540464
429,0.588373
430,0.436072
431,0.459307
432,0.352990
433,1.343178
434,1.074066
435,0.760731
436,1.411833
437,0.648886
438,0.320339
439,1.372577
440,0.119585
441,1.229555
442,1.009866
443,0.724664
444,0.228602
445,0.121456
446,0.364021
447,0.264841
448,0.030996
449,0.076102
450,0.171206
451,0.047761
452,0.028515
453,0.056340
454,0.068546
455,0.371319
456,0.309933
457,0.015371
458,0.149950
459,0.184551
460,0.072404
461,0.254911
462,0.162916
463,0.145347
464,0.406840
465,0.271434
466,0.409470
467,1.213710
468,1.489514
469,0.947508
470,1.107872
471,0.637760
472,0.790270
473,2.290935
474,3.283290
475,1.776221
476,2.039029
477,1.371971
478,2.181423
479,3.342459
480,4.575518
481,4.906384
482,5.181919
483,5.088815
484,4.023187
485,4.754343
486,3.465364
487,2.788940
488,1.557973
489,0.917243
490,2.464241
491,0.072992
492,0.050772
493,0.023528
494,0.102951
495,0.150689
496,0.204147
497,0.173616
498,0.030915
499,0.052112
500,0.018765
501,0.001482
502,0.081294
503,0.202897
504,0.007965
505,0.063106
506,0.634942
507,0.111873
508,0.116131
509,0.114437
510,0.108617
511,0.083640
512,0.051689
513,0.055021
514,0.033477
515,0.004265
516,0.006763
517,0.019630
518,0.013985
519,0.013031
520,0.031567
521,0.024225
522,0.030555
523,0.005595
524,0.046536
525,0.080329
526,0.077851
527,0.080726
528,0.394421
529,0.272232
530,0.212333
531,0.363333
532,0.258854
533,0.181548
534,0.042859
535,0.012415
536,1.033368
537,0.918800
538,1.145012
539,0.631405
540,0.187387
541,1.155640
542,0.135884
543,0.410353
544,1.025399
545,0.392177
546,0.820169
547,0.583431
548,0.092191
549,0.247201
550,0.464992
551,0.114016
552,0.035483
553,0.258771
554,0.448941
555,0.159488
556,0.212950
557,0.240870
558,0.271644
559,0.316885
560,0.002515
561,0.128606
