Filename,Total_Vertices,Mean,Median,Std,Min,Max,RMSE,Pct_Within_Cutoff,R1_Count,R1_Mean,R1_Max,R1_RMSE,R1_Pct_Within,R2_Count,R2_Mean,R2_Max,R2_RMSE,R2_Pct_Within,R3_Count,R3_Mean,R3_Max,R3_RMSE,R3_Pct_Within,R4_Count,R4_Mean,R4_Max,R4_RMSE,R4_Pct_Within,R5_Count,R5_Mean,R5_Max,R5_RMSE,R5_Pct_Within,R6_Count,R6_Mean,R6_Max,R6_RMSE,R6_Pct_Within,R7_Count,R7_Mean,R7_Max,R7_RMSE,R7_Pct_Within
10_40_directional.obj,7160,2.126118,0.000000,4.374971,0.000000,19.994900,4.864232,70.47,850,0.000000,0.000000,0.000000,100.00,667,0.000000,0.000000,0.000000,100.00,2318,0.007106,0.377602,0.048530,100.00,760,0.000000,0.000000,0.000000,100.00,400,0.036552,0.711470,0.142527,95.25,1009,10.150257,19.994900,11.576117,0.40,1156,4.282268,10.456800,5.437984,5.71
12_40_directional.obj,7160,2.666994,0.000000,5.485897,0.000000,23.993799,6.099829,69.80,850,0.000000,0.000000,0.000000,100.00,667,0.000000,0.000000,0.000000,100.00,2318,0.008571,0.453098,0.058530,100.00,760,0.000000,0.000000,0.000000,100.00,400,0.046022,0.856370,0.178669,93.75,1009,12.851142,23.993799,14.571682,0.00,1156,5.268685,13.449301,6.716135,2.42
1_40_directional.obj,7160,0.168345,0.000000,0.331215,0.000000,1.999490,0.371542,84.18,850,0.000000,0.000000,0.000000,100.00,667,0.000000,0.000000,0.000000,100.00,2318,0.000709,0.037800,0.004842,100.00,760,0.000000,0.000000,0.000000,100.00,400,0.002463,0.069852,0.009730,100.00,1009,0.707316,1.999490,0.806082,30.92,1156,0.423048,1.000000,0.536461,62.28
2_40_directional.obj,7160,0.346272,0.000000,0.688328,0.000000,3.998980,0.770520,79.36,850,0.000000,0.000000,0.000000,100.00,667,0.000000,0.000000,0.000000,100.00,2318,0.001418,0.075500,0.009684,100.00,760,0.000000,0.000000,0.000000,100.00,400,0.005275,0.139704,0.021047,100.00,1009,1.482493,3.998980,1.701095,19.33,1156,0.846088,2.000000,1.072918,42.56
3_40_directional.obj,7160,0.534289,0.000000,1.071754,0.000000,5.998480,1.197548,77.09,850,0.000000,0.000000,0.000000,100.00,667,0.000000,0.000000,0.000000,100.00,2318,0.002127,0.113300,0.014526,100.00,760,0.000000,0.000000,0.000000,100.00,400,0.008316,0.209556,0.033302,100.00,1009,2.329174,5.998480,2.684836,13.78,1156,1.269134,3.000000,1.609377,33.39
4_40_directional.obj,7160,0.732189,0.000000,1.479622,0.000000,7.997960,1.650873,75.32,850,0.000000,0.000000,0.000000,100.00,667,0.000000,0.000000,0.000000,100.00,2318,0.002835,0.151001,0.019368,100.00,760,0.000000,0.000000,0.000000,100.00,400,0.011584,0.279408,0.046344,100.00,1009,3.245903,7.997960,3.750004,10.11,1156,1.692173,4.000000,2.145835,25.61
5_40_directional.obj,7160,0.939898,0.000000,1.910491,0.000000,9.997460,2.129175,74.27,850,0.000000,0.000000,0.000000,100.00,667,0.000000,0.000000,0.000000,100.00,2318,0.003544,0.188801,0.024210,100.00,760,0.000000,0.000000,0.000000,100.00,400,0.015118,0.349260,0.060269,100.00,1009,4.232124,9.997460,4.891198,7.23,1156,2.115221,5.000000,2.682295,21.63
6_40_directional.obj,7160,1.157451,0.000000,2.363278,0.000000,11.996940,2.631497,73.24,850,0.000000,0.000000,0.000000,100.00,667,0.000000,0.000000,0.000000,100.00,2318,0.004253,0.226601,0.029054,100.00,760,0.000000,0.000000,0.000000,100.00,400,0.018947,0.419450,0.075167,100.00,1009,5.287960,11.996940,6.104445,4.86,1156,2.538374,6.000000,3.218883,17.30
7_40_directional.obj,7160,1.384905,0.000000,2.837075,0.000000,13.996440,3.157048,72.25,850,0.000000,0.000000,0.000000,100.00,667,0.000000,0.000000,0.000000,100.00,2318,0.004963,0.264301,0.033897,100.00,760,0.000000,0.000000,0.000000,100.00,400,0.023055,0.492910,0.090996,100.00,1009,6.412826,13.996440,7.385916,2.58,1156,2.962502,7.009199,3.756734,13.15
8_40_directional.obj,7160,1.622256,0.000000,3.330974,0.000000,15.995920,3.705010,71.70,850,0.000000,0.000000,0.000000,100.00,667,0.000000,0.000000,0.000000,100.00,2318,0.005673,0.302101,0.038751,100.00,760,0.000000,0.000000,0.000000,100.00,400,0.027398,0.566000,0.107620,99.25,1009,7.603344,15.995920,8.730276,1.59,1156,3.390546,8.057301,4.299981,10.90
