source_vertex_id,target_vertex_id,distance
0,3633,0.180265
1,1,0.195035
2,2,0.226129
3,3,0.154773
4,3634,0.245336
5,5,0.258674
6,6,0.333644
7,9,0.470176
8,8,0.656368
9,7,0.522707
10,11,0.694814
11,10,0.669208
12,12,0.826815
13,15,0.458915
14,14,0.917715
15,13,0.428885
16,3638,0.080713
17,17,0.113378
18,18,0.074667
19,20,0.345990
20,19,0.390260
21,3640,0.053346
22,22,0.077942
23,23,0.111284
24,26,1.025079
25,167,0.308590
26,26,1.106674
27,3643,0.389713
28,28,0.364466
29,3644,0.323325
30,3645,0.264365
31,31,0.267511
32,3646,0.199899
33,34,1.185536
34,34,1.187305
35,36,1.101894
36,274,1.176189
37,37,0.517966
38,3649,0.581668
39,39,0.556034
40,3650,0.451378
41,41,0.454103
42,43,0.235436
43,42,0.163636
44,44,0.214846
45,45,0.088153
46,370,1.186180
47,367,0.262492
48,49,0.592378
49,48,0.642041
50,50,0.101953
51,51,0.374364
52,53,1.030134
53,313,1.054306
54,4368,2.504828
55,4497,2.858798
56,4497,2.643003
57,3892,0.268477
58,3891,0.589057
59,3929,1.019371
60,3661,1.223687
61,3893,0.685979
62,3662,0.176413
63,63,0.581959
64,3663,0.481708
65,65,0.218671
66,67,0.827417
67,66,0.660050
68,68,0.750041
69,69,0.703488
70,3665,0.779153
71,3666,0.639268
72,72,0.641901
73,73,0.420019
74,364,0.723771
75,75,0.530606
76,77,0.997479
77,76,1.017796
78,362,0.283087
79,80,0.324465
80,79,0.440494
81,81,0.171974
82,83,0.163815
83,82,0.148138
84,84,0.090936
85,86,0.406177
86,85,0.384180
87,87,0.257736
88,373,0.410989
89,90,0.376264
90,89,0.518514
91,376,1.274796
92,93,0.974659
93,383,0.925513
94,4618,2.708415
95,4499,2.689625
96,4742,3.282244
97,4025,0.592817
98,4135,1.179844
99,3680,0.915751
100,3681,0.862119
101,3681,0.872525
102,102,0.976765
103,3682,0.837339
104,104,0.839293
105,105,0.267794
106,474,1.330559
107,107,0.089190
108,109,0.660521
109,108,0.498315
110,108,1.331550
111,480,0.805613
112,112,0.085640
113,4744,3.961873
114,4620,3.035258
115,4744,3.577858
116,4864,4.123044
117,4743,3.211199
118,4866,3.396138
119,4259,1.662712
120,4135,1.112829
121,4388,1.539377
122,122,0.458704
123,581,0.899348
124,124,0.442259
125,697,0.455165
126,4978,4.500792
127,4867,3.622443
128,4869,3.749076
129,4979,4.804687
130,4871,4.087406
131,4389,2.341666
132,4388,1.474214
133,4524,2.288286
134,135,0.730213
135,134,0.581889
136,136,0.091295
137,138,1.090533
138,137,0.967196
139,582,1.209445
140,4982,5.068523
141,4982,4.284165
142,4981,4.479814
143,5091,5.294994
144,5093,4.547870
145,4647,3.422060
146,4646,2.438330
147,4766,3.725590
148,5199,5.776670
149,5199,4.886490
150,5199,5.079400
151,5300,5.895846
152,5201,5.263820
153,4887,5.752207
154,4885,4.569123
155,4992,5.629967
156,4885,4.704234
157,4885,5.137293
158,4766,3.911030
159,159,1.008879
160,3711,0.134904
161,161,0.149845
162,5099,5.236406
163,5100,5.983856
164,5201,6.137020
165,5200,5.520605
166,5202,6.676355
167,25,0.410654
168,168,0.208028
169,380,1.067409
170,582,0.957258
171,134,1.243829
172,5099,5.304415
173,4991,4.923688
174,3715,0.228887
175,175,0.419978
176,3716,0.339862
177,3717,0.294524
178,178,0.463389
179,3718,0.428744
180,3719,0.388165
181,3720,0.351908
182,3722,0.505102
183,3721,0.473807
184,3723,0.435471
185,185,0.549071
186,3725,0.558877
187,3724,0.520429
188,3726,0.603268
189,3727,0.659461
190,3728,0.736526
191,3729,0.132448
192,3730,0.186847
193,3731,0.280173
194,3732,0.238126
195,3733,0.325762
196,3734,0.402736
197,3735,0.484674
198,3736,0.616702
199,3737,0.573810
200,3738,0.700038
201,3740,0.830372
202,3739,0.791547
203,3741,0.920408
204,3742,0.061836
205,3743,0.116815
206,3744,0.176289
207,3745,0.216378
208,3746,0.280479
209,3747,0.260241
210,3749,0.368112
211,3748,0.416268
212,3750,0.318340
213,3752,0.449646
214,3751,0.498271
215,3754,0.535803
216,3753,0.576657
217,3755,0.666568
218,3756,0.628698
219,3757,0.754519
220,3758,1.008373
221,3759,0.977095
222,3760,0.878227
223,3760,0.787309
224,3762,0.845929
225,3763,0.926741
226,3764,0.101915
227,3765,0.098955
228,3766,0.137975
229,3767,0.192133
230,3768,0.219373
231,3769,0.262857
232,3770,0.291384
233,3771,0.299563
234,3772,0.397188
235,3773,0.352571
236,3774,0.326859
237,3775,0.468785
238,3776,0.550451
239,3777,0.644029
240,3778,0.727763
241,3779,0.692796
242,3780,0.808054
243,3781,1.097331
244,3782,1.055537
245,3783,1.017395
246,3784,0.899757
247,3785,0.902091
248,3786,0.981821
249,249,0.328459
250,3787,0.172489
251,3788,0.214551
252,3789,0.160657
253,3790,0.159118
254,3791,0.181857
255,3792,0.225679
256,3793,0.243200
257,3794,0.287803
258,3795,0.324292
259,3796,0.323122
260,3797,0.344173
261,3798,0.444767
262,3799,0.384522
263,3800,0.349148
264,3801,0.523356
265,3802,0.348918
266,3803,0.608144
267,3804,0.699827
268,3805,0.776554
269,3806,0.738423
270,3807,0.782430
271,3808,0.868699
272,3809,1.184650
273,3641,0.891305
274,36,1.136495
275,3647,0.901288
276,3813,1.107189
277,3814,1.072236
278,3816,0.941654
279,3815,0.995540
280,3817,0.956633
281,3818,1.046293
282,3819,0.357120
283,3820,0.396200
284,3821,0.331290
285,3822,0.289946
286,3823,0.211023
287,3824,0.262615
288,3825,0.220439
289,3826,0.237266
290,3827,0.270850
291,3828,0.280368
292,3829,0.321205
293,3830,0.357720
294,3831,0.324643
295,3832,0.368406
296,3833,0.375297
297,3834,0.361769
298,3835,0.383210
299,3836,0.419967
300,3837,0.422849
301,3838,0.376115
302,3839,0.376130
303,3840,0.499046
304,3841,0.393560
305,3842,0.581453
306,3843,0.670076
307,3844,0.760676
308,3845,0.835752
309,3846,0.845009
310,3847,0.927518
311,367,1.157513
312,51,0.816894
313,53,1.020737
