Filename,Total_Vertices,Mean,Median,Std,Min,Max,RMSE,Pct_Within_Cutoff,R1_Count,R1_Mean,R1_Max,R1_RMSE,R1_Pct_Within,R2_Count,R2_Mean,R2_Max,R2_RMSE,R2_Pct_Within,R3_Count,R3_Mean,R3_Max,R3_RMSE,R3_Pct_Within,R4_Count,R4_Mean,R4_Max,R4_RMSE,R4_Pct_Within,R5_Count,R5_Mean,R5_Max,R5_RMSE,R5_Pct_Within,R6_Count,R6_Mean,R6_Max,R6_RMSE,R6_Pct_Within,R7_Count,R7_Mean,R7_Max,R7_RMSE,R7_Pct_Within
10_40_directional.obj,7160,1.265832,1.013389,1.093282,0.000452,5.479620,1.672602,23.44,850,0.746207,3.050147,0.892449,36.24,667,1.260879,2.603861,1.370414,10.34,2318,0.992696,2.974519,1.109372,18.38,760,0.556906,1.515173,0.674211,50.00,400,1.012208,2.534731,1.175150,23.75,1009,2.211652,5.479620,2.755500,22.20,1156,1.926744,5.110247,2.405550,15.22
12_40_directional.obj,7160,1.642654,1.333064,1.350344,0.000186,7.069269,2.126439,17.58,850,1.100988,4.366213,1.308601,21.41,667,1.836053,3.618885,1.997117,5.40,2318,1.246018,3.617179,1.412466,16.61,760,0.851893,2.377097,1.032648,33.82,400,1.424065,3.615795,1.651041,19.25,1009,2.794423,7.069269,3.498943,18.53,1156,2.314887,5.988847,2.848791,11.68
1_40_directional.obj,7160,0.118625,0.105918,0.091182,0.000070,0.513905,0.149620,99.99,850,0.077066,0.475543,0.098389,100.00,667,0.127117,0.342916,0.138563,100.00,2318,0.113805,0.492079,0.127024,100.00,760,0.052451,0.151676,0.064083,100.00,400,0.103612,0.268938,0.120946,100.00,1009,0.129549,0.384950,0.167409,100.00,1156,0.193113,0.513905,0.236390,99.91
2_40_directional.obj,7160,0.227176,0.192132,0.185572,0.000062,1.025115,0.293336,92.23,850,0.137605,0.795531,0.172615,98.71,667,0.234012,0.621247,0.253613,99.40,2318,0.199750,0.848516,0.225142,99.74,760,0.121860,0.344500,0.149064,100.00,400,0.204983,0.523527,0.238395,99.00,1009,0.268236,0.814273,0.346366,81.67,1156,0.385170,1.025115,0.483013,70.07
3_40_directional.obj,7160,0.350017,0.311564,0.274145,0.000134,1.515046,0.444598,80.32,850,0.212912,1.311731,0.271333,97.41,667,0.353691,0.923245,0.385194,81.56,2318,0.334567,1.356439,0.371272,84.94,760,0.148728,0.416962,0.181414,100.00,400,0.297666,0.766446,0.347649,91.25,1009,0.408181,1.197524,0.516613,65.81,1156,0.579374,1.515046,0.715369,53.72
4_40_directional.obj,7160,0.461196,0.404071,0.370133,0.000248,2.027428,0.591355,65.54,850,0.275657,1.688744,0.348026,88.71,667,0.460107,1.181529,0.501059,59.22,2318,0.425845,1.750392,0.473122,69.15,760,0.193061,0.538285,0.235334,98.42,400,0.383561,0.987583,0.448175,63.50,1009,0.575302,1.627360,0.717903,47.47,1156,0.772686,2.027428,0.963034,39.79
5_40_directional.obj,7160,0.585144,0.511740,0.461420,0.000105,2.528433,0.745185,48.69,850,0.341879,1.989385,0.425974,75.88,667,0.577513,1.458335,0.629583,34.18,2318,0.538588,2.177767,0.597987,42.80,760,0.249419,0.693626,0.303783,88.68,400,0.490041,1.256445,0.571910,47.00,1009,0.761045,2.038691,0.932440,37.86,1156,0.961864,2.528433,1.194787,32.61
6_40_directional.obj,7160,0.709781,0.612944,0.560133,0.000075,3.049557,0.904179,39.86,850,0.418625,2.165780,0.512766,64.59,667,0.714880,1.793914,0.777945,23.24,2318,0.628680,2.485205,0.700501,32.48,760,0.316256,0.877738,0.384931,79.34,400,0.598754,1.527625,0.698768,40.00,1009,0.975686,2.454501,1.187930,32.61,1156,1.148596,3.049557,1.427963,26.38
7_40_directional.obj,7160,0.833154,0.701543,0.675567,0.000081,3.554878,1.072630,34.89,850,0.510300,2.365654,0.616804,54.00,667,0.864089,2.098158,0.938014,16.64,2318,0.699243,2.597506,0.781421,28.30,760,0.357261,1.004883,0.435835,74.21,400,0.684126,1.775144,0.797857,36.25,1009,1.232200,2.871686,1.504675,29.44,1156,1.337349,3.554878,1.671238,23.01
8_40_directional.obj,7160,0.970711,0.808800,0.799335,0.000422,4.054231,1.257464,30.24,850,0.555570,2.465755,0.669677,50.71,667,0.948761,2.169705,1.031779,14.54,2318,0.819247,2.653880,0.910411,22.26,760,0.413852,1.152856,0.504027,65.26,400,0.788280,2.017073,0.916614,32.25,1009,1.533688,3.628286,1.882348,26.07,1156,1.530181,4.054231,1.907168,20.16
