vertex_id,distance
0,0.000280
1,0.000196
2,0.000110
3,0.000149
4,0.000070
5,0.000116
6,0.000083
7,0.000025
8,0.000072
9,0.000003
10,0.000046
11,0.000393
12,0.000070
13,0.000160
14,0.000024
15,0.000176
16,0.000020
17,0.000069
18,0.000032
19,0.000180
20,0.000154
21,0.000050
22,0.000054
23,0.000031
24,0.000095
25,0.000093
26,0.000094
27,0.000031
28,0.000093
29,0.000214
30,0.000024
31,0.000048
32,0.000061
33,0.000031
34,0.000163
35,0.000090
36,0.000038
37,0.000026
38,0.000313
39,0.000063
40,0.000070
41,0.000039
42,0.000038
43,0.000094
44,0.000115
45,0.000053
46,0.000114
47,0.000021
48,0.000062
49,0.000038
50,0.000058
51,0.000037
52,0.000108
53,0.000062
54,0.000443
55,0.000064
56,0.000140
57,0.000229
58,0.000077
59,0.000061
60,0.000008
61,0.000006
62,0.000023
63,0.000047
64,0.000093
65,0.000001
66,0.000069
67,0.000040
68,0.000085
69,0.000115
70,0.000062
71,0.000038
72,0.000084
73,0.000078
74,0.000108
75,0.000031
76,0.000039
77,0.000038
78,0.000138
79,0.000120
80,0.000044
81,0.000013
82,0.000260
83,0.000161
84,0.000115
85,0.000024
86,0.000046
87,0.000063
88,0.000396
89,0.000145
90,0.000012
91,0.000065
92,0.000114
93,0.000043
94,0.000138
95,0.000033
96,0.000044
97,0.000314
98,0.000081
99,0.000115
100,0.000250
101,0.000024
102,0.000051
103,0.000051
104,0.000050
105,0.000054
106,0.000019
107,0.000109
108,0.000042
109,0.000599
110,0.001632
111,0.000045
112,0.000282
113,0.000039
114,0.000020
115,0.000026
116,0.003902
117,0.000168
118,0.000070
119,0.000158
120,0.000046
121,0.000999
122,0.000023
123,0.046551
124,0.000073
125,0.002338
126,0.000052
127,0.010090
128,0.000179
129,0.000025
130,0.000007
131,0.000202
132,0.000137
133,0.000058
134,0.000024
135,0.002209
136,0.000010
137,0.000059
138,0.000010
139,0.147587
140,0.001591
141,0.012204
142,0.000055
143,0.000015
144,0.000028
145,0.000011
146,0.000359
147,0.000391
148,0.003010
149,0.000032
150,0.000029
151,0.000046
152,0.000026
153,0.260094
154,0.000087
155,0.000286
156,0.197773
157,0.000267
158,0.002335
159,0.001984
160,0.000018
161,0.000016
162,0.000282
163,0.000039
164,0.003197
165,0.001217
166,0.000022
167,0.000008
168,0.000061
169,0.000032
170,0.000013
171,0.000054
172,0.000028
173,0.000034
174,0.000176
175,0.002140
176,0.000295
177,0.333008
178,0.000025
179,0.000074
180,0.310402
181,0.000072
182,0.183175
183,0.000006
184,0.026868
185,0.001892
186,0.000033
187,0.000069
188,0.000040
189,0.000016
190,0.000015
191,0.052052
192,0.000183
193,0.287609
194,0.355969
195,0.000556
196,0.000042
197,0.000024
198,0.000523
199,0.000021
200,0.000015
201,0.000023
202,0.000022
203,0.007210
204,0.000367
205,0.375954
206,0.000029
207,0.001186
208,0.000066
209,0.000013
210,0.000015
211,0.000038
212,0.000043
213,0.385263
214,0.267395
215,0.000020
216,0.000332
217,0.000013
218,0.433788
219,0.000022
220,0.008812
221,0.000144
222,0.000021
223,0.181179
224,0.004398
225,0.000100
226,0.000069
227,0.000020
228,0.000157
229,0.383370
230,0.507566
231,0.000069
232,0.000068
233,0.015419
234,0.000011
235,0.300480
236,0.000022
237,0.000150
238,0.000022
239,0.002632
240,0.000022
241,0.000447
242,0.000031
243,0.000512
244,0.006245
245,0.000025
246,0.669613
247,0.208038
248,0.000038
249,0.000043
250,0.000042
251,0.000080
252,0.000052
253,0.376015
254,0.012711
255,0.515695
256,0.642903
257,0.000050
258,0.000931
259,0.000355
260,0.000189
261,0.000019
262,0.000046
263,0.000034
264,0.298340
265,0.010014
266,0.000008
267,0.003925
268,0.000046
269,0.828034
270,0.000488
271,0.000037
272,0.000024
273,0.519917
274,0.000090
275,0.193577
276,0.000004
277,0.000225
278,0.007351
279,0.000032
280,0.385853
281,0.000073
282,0.690198
283,0.853955
284,0.000050
285,0.000362
286,0.005921
287,0.000028
288,0.000033
289,0.000038
290,0.000035
291,0.632565
292,0.000370
293,0.000018
294,0.300468
295,0.001293
296,0.503376
297,0.008343
298,0.000062
299,0.000029
300,0.986571
301,0.000047
302,0.003082
303,0.869715
304,0.371269
305,0.000626
306,0.000030
307,0.000038
308,0.000096
309,0.000188
310,0.000069
311,0.000031
312,0.000011
313,0.005245
314,0.000053
315,1.095183
316,0.000066
317,0.000016
318,0.000016
319,0.294834
320,0.206005
321,0.013031
322,0.679520
323,0.000059
324,0.000097
325,0.000009
326,0.000032
327,0.889051
328,0.000115
329,0.000059
330,0.000778
331,0.526867
332,0.000336
333,0.000030
334,1.091096
335,0.000025
336,0.027604
337,0.392139
338,0.000029
339,0.005795
340,0.000238
341,1.080573
342,0.000073
343,0.000009
344,0.201088
345,0.000075
346,0.003590
347,0.000074
348,0.000413
349,0.000020
350,0.000013
351,0.000092
352,0.885162
353,0.000756
354,0.692299
355,0.000019
356,0.000037
357,1.121625
358,0.000037
359,0.000038
360,0.000061
361,0.000092
362,0.536896
363,0.000067
364,0.316116
365,0.012547
366,0.000023
367,0.000061
368,0.000023
369,0.000969
370,0.000006
371,1.243115
372,0.005543
373,0.878628
374,0.000012
375,0.000355
376,0.000035
377,0.399975
378,0.000012
379,0.000032
380,1.106077
381,0.003796
382,0.686436
383,1.330220
384,0.000072
385,0.205494
386,0.000511
387,0.000022
388,0.010227
389,0.000034
390,0.000008
391,0.530045
392,0.000778
393,0.000013
394,0.313572
395,0.000102
396,0.000016
397,0.000052
398,0.000208
399,0.000072
400,0.005753
401,0.000032
402,1.571575
403,0.000060
404,0.000035
405,0.000013
406,0.000946
407,0.000014
408,0.012535
409,0.000034
410,0.404171
411,1.175884
412,0.000032
413,1.426462
414,0.000025
415,0.936432
416,0.000032
417,0.003212
418,0.000375
419,0.000016
420,0.000073
421,0.000242
422,0.000127
423,1.713051
424,0.737156
425,0.000038
426,0.000027
427,0.300575
428,0.000102
429,0.207626
430,0.000019
431,0.012955
432,0.000269
433,1.151749
434,0.008347
435,0.567459
436,1.421159
437,1.722412
438,0.000044
439,0.000020
440,0.908321
441,0.000523
442,0.000136
443,0.000038
444,0.000037
445,1.770142
446,0.015598
447,0.000074
448,0.000031
449,0.712067
450,0.000047
451,0.000012
452,0.000054
453,0.415806
454,0.000007
455,0.000313
456,0.000065
457,0.000074
458,0.000027
459,0.000028
460,0.000050
461,0.000035
462,0.221165
463,0.003605
464,1.434361
465,0.000024
466,1.156590
467,1.863160
468,0.000018
469,0.552864
470,0.000017
471,0.000630
472,1.744835
473,0.000047
474,0.000067
475,0.007015
476,0.915558
477,0.000022
478,0.000064
479,2.029372
480,0.321686
481,0.000032
482,0.000059
483,0.000207
484,0.016865
485,0.000036
486,0.000022
487,0.000196
488,0.710571
489,0.000805
490,0.000035
491,0.000042
492,0.412392
493,0.014313
494,0.000028
495,0.000013
496,0.000052
497,0.204243
498,0.000022
499,0.000336
500,0.000032
501,0.000045
502,0.000074
503,1.503010
504,1.825138
505,0.000040
506,0.562012
507,2.068385
508,1.223061
509,0.005219
510,0.000054
511,2.179276
512,0.000067
513,0.000080
514,0.000030
515,0.003819
516,0.000016
517,0.000515
518,0.000012
519,0.000290
520,0.000015
521,0.968056
522,0.000014
523,0.000962
524,2.279027
525,0.000051
