source_vertex_id,target_vertex_id,distance
0,3730,0.827946
1,3633,1.092575
2,3715,1.177875
3,3729,0.902686
4,3715,1.452723
5,3715,1.108097
6,3717,1.434015
7,3757,4.019212
8,3738,3.206005
9,3738,3.227294
10,3739,3.851156
11,3757,4.625512
12,3762,4.035778
13,3784,4.325878
14,3784,4.719492
15,3762,5.191451
16,3743,0.592900
17,3638,0.731999
18,3742,1.020186
19,3816,5.852518
20,3786,4.959015
21,3765,1.071461
22,3640,0.232874
23,3764,1.296580
24,3918,7.103416
25,3818,6.472543
26,3853,5.978745
27,3643,0.515461
28,28,0.577278
29,3644,0.660205
30,3645,0.810940
31,31,0.820796
32,3646,1.007021
33,4014,7.385165
34,3918,6.260845
35,4117,7.612892
36,4014,6.513341
37,37,0.304582
38,3649,0.218908
39,39,0.253404
40,3650,0.400560
41,41,0.403892
42,4086,1.016398
43,3900,0.484541
44,3982,0.622110
45,3991,1.119107
46,3989,1.315951
47,3902,1.349123
48,4207,3.304563
49,4101,2.281463
50,4207,2.353538
51,4101,3.325269
52,4118,7.834980
53,4015,6.735596
54,54,0.072069
55,3658,0.071736
56,56,0.071282
57,3893,0.914887
58,3891,1.074986
59,3926,1.301483
60,3928,0.730513
61,3893,0.817777
62,3932,0.312908
63,3927,0.348378
64,3934,0.192174
65,3933,0.290380
66,3937,0.765653
67,3935,0.729769
68,68,0.066535
69,69,0.101900
70,3665,0.045777
71,3666,0.156231
72,72,0.157122
73,3984,0.646671
74,3897,1.085236
75,3983,0.539674
76,3980,0.920987
77,3979,1.155025
78,3981,0.467694
79,4090,1.824822
80,3989,1.524029
81,4092,1.741237
82,4206,2.199916
83,4094,1.280834
84,4206,1.726930
85,4208,2.391457
86,4096,1.420764
87,4098,1.557090
88,4098,1.307842
89,4211,4.701265
90,4100,4.006472
91,4099,5.030187
92,4234,7.924953
93,4234,7.005409
94,94,0.068947
95,95,0.070132
96,3678,0.068997
97,3679,0.490135
98,3925,0.747543
99,3680,0.024880
100,100,0.017373
101,3681,0.005563
102,102,0.046362
103,3682,0.011478
104,104,0.011800
105,4469,5.299790
106,4341,4.946566
107,4342,4.692915
108,4469,5.842316
109,4469,5.458068
110,4344,5.925080
111,4233,7.213455
112,4356,7.878801
113,3687,0.067005
114,114,0.067110
115,3688,0.065727
116,3689,0.064306
117,117,0.063657
118,118,0.061228
119,3690,0.956951
120,120,0.986278
121,3691,0.854988
122,4478,6.962521
