vertex_id,distance
0,2.532175
1,2.538970
2,2.562765
3,2.604883
4,2.551581
5,2.586401
6,2.619803
7,2.666607
8,2.662366
9,2.547921
10,2.556894
11,2.704945
12,2.592526
13,2.743570
14,2.573942
15,2.615039
16,2.743823
17,2.647867
18,2.590500
19,2.749871
20,2.868253
21,2.687638
22,2.619719
23,2.640399
24,2.825635
25,2.735326
26,2.767827
27,2.874885
28,2.860935
29,2.678834
30,2.726384
31,2.642010
32,2.594196
33,2.793064
34,2.713166
35,2.917202
36,2.516720
37,2.783936
38,2.755355
39,2.712948
40,2.718626
41,2.470589
42,3.013209
43,2.948254
44,2.791888
45,2.977345
46,2.632309
47,2.459124
48,2.854120
49,2.797998
50,2.920846
51,2.730366
52,2.486017
53,2.738830
54,2.695508
55,2.974043
56,2.343272
57,2.897200
58,2.808908
59,3.001152
60,2.496291
61,2.239670
62,2.999601
63,2.958651
64,2.731829
65,2.201282
66,2.607601
67,2.966426
68,2.769676
69,2.983470
70,3.042486
71,3.090178
72,2.678281
73,2.338539
74,2.142041
75,2.742575
76,2.219824
77,2.954888
78,3.142470
79,3.098100
80,2.726060
81,2.517548
82,2.698361
83,2.852270
84,1.990102
85,2.944094
86,3.063253
87,2.715774
88,3.163486
89,3.110075
90,2.847373
91,2.295791
92,1.927505
93,3.127550
94,2.637936
95,2.834434
96,2.025334
97,3.093306
98,2.912590
99,2.731263
100,3.236117
101,2.899477
102,2.418741
103,2.413887
104,1.932765
105,2.202966
106,2.562707
107,3.137296
108,2.915309
109,3.147258
110,3.303401
111,2.627185
112,2.923711
113,1.840469
114,1.788601
115,2.504591
116,3.173059
117,2.975047
118,2.645576
119,2.588566
120,1.964975
121,3.222283
122,2.140103
123,3.378865
124,2.793395
125,3.296164
126,2.862078
127,3.336449
128,2.671256
129,2.663398
130,1.766524
131,3.044239
132,2.503595
133,2.138732
134,2.295957
135,3.371795
136,1.969547
137,2.398548
138,1.835556
139,3.431539
140,3.157858
141,3.401340
142,2.192671
143,1.841547
144,2.825525
145,2.673152
146,2.730640
147,3.444975
148,3.265771
149,2.446678
150,1.760854
151,2.280401
152,1.934714
153,3.463924
154,2.743452
155,2.594596
156,3.469338
157,2.863497
158,3.342572
159,3.514999
160,1.736121
161,2.846571
162,2.357469
163,2.492196
164,3.396799
165,3.006888
166,1.992093
167,2.007486
168,2.101149
169,2.592687
170,2.242296
171,2.743427
172,1.760769
173,1.885766
174,2.480122
175,3.117576
176,2.626255
177,3.470657
178,2.591462
179,2.161963
180,3.504232
181,2.806568
182,3.588987
183,1.800090
184,3.439869
185,3.189925
186,2.045856
187,2.660386
188,1.805479
189,2.643666
190,2.243036
191,3.501689
192,2.141189
193,3.595186
194,3.498457
195,3.214540
196,2.702915
197,1.741195
198,2.791747
199,1.848726
200,1.991047
201,2.776907
202,2.711031
203,3.280151
204,2.277930
205,3.444798
206,2.321395
207,2.870977
208,2.731343
209,2.053373
210,1.806321
211,2.091505
212,1.882232
213,3.534576
214,3.509526
215,1.888143
216,2.440477
217,1.685438
218,3.437142
219,1.684674
220,2.982958
221,2.686818
222,2.808347
223,3.324870
224,2.851625
225,2.080450
226,2.582217
227,2.463555
228,1.951596
229,3.470758
230,3.397141
231,1.709297
232,2.680588
233,3.017124
234,2.079689
235,3.374692
236,1.715145
237,1.624747
238,2.767440
239,2.598336
240,2.802970
241,2.248402
242,1.620084
243,2.054455
244,2.650172
245,2.150513
246,3.369953
247,3.114399
248,1.909354
249,1.980065
250,1.821486
251,1.527689
252,2.696103
253,3.381016
254,2.694158
255,3.394687
256,3.377888
257,2.009514
258,2.357455
259,1.734825
260,2.819793
261,1.731447
262,2.807346
263,2.653646
264,3.214719
265,2.774730
266,1.436368
267,2.407602
268,1.639383
269,3.343752
270,1.907103
271,2.706065
272,1.975942
273,3.341296
274,2.759237
275,2.906813
276,1.525724
277,2.915130
278,2.433355
279,1.977992
280,3.263617
281,1.406845
282,3.351567
283,3.284603
284,2.767139
285,2.062872
286,2.481136
287,2.756846
288,1.377369
289,2.288270
290,1.885279
291,3.326848
292,1.525413
293,1.734868
294,3.040549
295,2.212346
296,3.286887
297,2.568647
298,2.737421
299,2.849527
300,3.332738
301,1.252745
302,2.283911
303,3.381305
304,3.152537
305,1.721784
306,1.980836
307,1.790799
308,2.793771
309,3.011767
310,2.494395
311,1.575783
312,1.645915
313,2.306443
314,1.929449
315,3.340455
316,2.818295
317,1.952283
318,1.943949
319,2.860827
320,2.640808
321,2.329130
322,3.295078
323,2.655536
324,1.320990
325,2.958580
326,2.681012
327,3.359247
328,1.155078
329,1.445331
330,2.142279
331,3.227940
332,1.339138
333,2.089127
334,3.430110
335,1.920788
336,2.340962
337,3.045668
338,2.723945
339,2.243023
340,3.077460
341,3.330781
342,2.679110
343,1.740855
344,2.466570
345,2.952351
346,2.222650
347,1.106024
348,1.852395
349,1.688333
350,1.634944
351,1.808404
352,3.320502
353,1.577391
354,3.283821
355,2.268095
356,2.730977
357,3.372211
358,1.051036
359,1.554760
360,2.808931
361,1.877999
362,3.209243
363,3.062747
364,2.685593
365,2.164313
366,1.421472
367,2.651122
368,1.927374
369,2.034299
370,1.906120
371,3.302482
372,2.152106
373,3.303812
374,1.947580
375,1.156194
376,1.231812
377,2.963428
378,2.684155
379,3.161589
380,3.316752
381,2.140093
382,3.299145
383,3.228230
384,3.112472
385,2.262787
386,1.407292
387,1.048294
388,2.138326
389,2.669352
390,1.718226
391,3.196644
392,1.679869
393,1.644373
394,2.528014
395,3.212770
396,0.983081
397,1.835060
398,3.110086
399,2.388719
400,2.059361
401,1.947121
402,3.262769
403,2.955613
404,1.748120
405,1.700748
406,1.885927
407,1.374908
408,2.023576
409,2.635131
410,2.917339
411,3.263733
412,1.931523
413,3.254172
414,1.523181
415,3.309166
416,2.604931
417,2.025296
418,1.283309
419,3.301581
420,2.040460
421,1.079633
422,1.020796
423,3.243851
424,3.341414
425,3.083191
426,1.898973
427,2.391484
428,1.140738
429,2.121309
430,2.730651
431,2.012115
432,3.090181
433,3.254412
434,2.035252
435,3.233046
436,3.203014
437,3.237977
438,3.188615
439,1.920268
440,3.329760
441,1.797897
442,1.552163
443,2.610674
444,1.963161
445,3.177541
446,1.995466
447,0.968033
448,1.677932
449,3.350516
450,3.134204
451,1.588515
452,1.694311
453,2.886001
454,1.430985
455,1.066897
456,2.584202
457,2.451946
458,2.552148
459,1.742118
460,1.982766
461,1.248018
462,2.127104
463,1.927627
464,3.174806
465,3.092219
466,3.252413
467,3.238460
468,2.972684
469,3.194272
470,2.815848
471,1.277354
472,3.145333
473,1.078936
474,1.672366
475,2.009852
476,3.347080
477,2.147225
478,0.973691
479,3.241135
480,2.436810
481,3.239102
482,2.526409
483,1.524819
484,2.025699
485,2.502290
486,3.265402
487,3.054338
488,3.350162
489,1.737456
490,1.931306
491,1.950337
492,2.837413
493,2.053163
494,1.592714
495,1.810358
496,3.036682
497,2.157466
498,1.278244
499,1.063300
500,1.981731
501,0.952407
502,3.206360
503,3.157374
504,3.140501
505,2.543008
506,3.168873
507,3.282393
508,3.244573
509,2.011418
510,2.502684
511,3.258749
512,3.103004
513,0.981373
514,2.653621
515,1.911813
516,1.592970
517,1.484309
518,1.585831
519,3.040371
520,1.388783
521,3.338803
522,2.253532
523,1.266307
524,3.311450
525,3.123387
526,2.800601
527,1.972737
528,1.037195
529,1.598146
530,2.503623
531,2.104051
532,2.770005
533,2.410042
534,3.151979
535,3.171716
536,2.073617
537,0.901347
538,3.049507
539,2.381352
540,3.309384
541,3.256038
542,3.223122
543,1.661994
544,0.922623
545,2.038936
546,2.937667
547,3.055673
548,1.848849
549,3.042161
550,3.300060
551,3.067989
552,1.740973
553,2.219019
554,1.007086
555,2.829763
556,1.604845
557,2.433771
558,1.988880
559,3.255066
560,3.468855
561,1.975795
562,3.175673
563,2.434681
564,1.404119
565,3.029944
566,3.161970
567,1.481087
568,1.052603
569,2.446297
570,2.139203
571,1.301701
572,3.394190
573,2.354027
574,3.187819
575,3.093176
576,2.894172
577,2.051953
578,1.990268
579,0.850847
580,3.429845
581,3.061579
582,1.452057
583,3.188955
584,1.092745
585,2.712358
586,1.208353
587,2.409443
588,2.115152
589,2.020736
590,0.889213
591,0.864287
592,3.177864
593,1.817597
594,2.553566
595,1.673813
596,2.251310
597,1.411676
598,2.953102
599,2.864864
600,1.447125
601,0.811185
602,3.488152
603,2.661041
604,2.723560
605,3.160585
606,2.375795
607,1.436862
608,2.875389
609,3.180841
610,3.012256
611,2.220934
612,3.558102
613,2.350110
614,3.381987
615,1.954646
616,3.081660
617,0.869329
618,1.512013
619,3.139793
620,2.100043
621,0.932177
622,1.756421
623,3.577862
624,2.716635
625,1.280814
626,0.976178
627,3.083447
