vertex_id,distance
0,3.582434
1,3.685852
2,3.757836
3,3.834962
4,3.547890
5,3.328433
6,3.069961
7,3.950480
8,2.758055
9,3.650464
10,3.754126
11,2.481518
12,3.789453
13,4.114927
14,3.536604
15,3.257253
16,3.906834
17,3.693083
18,3.098365
19,2.202460
20,4.568415
21,2.683589
22,3.696959
23,3.741252
24,4.325807
25,2.418309
26,1.981539
27,4.508116
28,4.110636
29,3.528679
30,3.304996
31,3.785895
32,3.621248
33,4.192776
34,2.971971
35,4.742498
36,3.633873
37,2.115728
38,1.804785
39,2.603361
40,3.930367
41,3.642080
42,4.482244
43,5.025547
44,1.882274
45,5.540900
46,3.424494
47,3.694078
48,4.143368
49,2.274674
50,4.726819
51,3.157176
52,3.526658
53,2.811865
54,1.594526
55,5.308661
56,3.560678
57,2.103177
58,1.744406
59,4.402152
60,3.827006
61,3.571985
62,5.516127
63,5.078350
64,2.415604
65,3.620145
66,4.027028
67,1.918888
68,2.210364
69,5.299514
70,5.719104
71,4.677164
72,3.078489
73,3.422862
74,3.493774
75,4.285745
76,3.733644
77,5.564894
78,5.005801
79,5.932735
80,2.672662
81,3.246933
82,1.449247
83,2.037300
84,3.526136
85,1.708009
86,5.774585
87,2.317097
88,6.160742
89,5.285782
90,4.601609
91,3.924952
92,3.583163
93,5.935040
94,1.251363
95,1.424237
96,3.447678
97,5.514616
98,1.869495
99,2.079923
100,6.386875
101,4.918081
102,3.143796
103,4.190952
104,3.698184
105,3.318189
106,2.843564
107,5.741839
108,1.694807
109,6.181442
110,6.571906
111,2.510772
112,5.190007
113,3.507831
114,3.588184
115,4.508977
116,6.334966
117,5.392950
118,2.179090
119,1.025793
120,3.890349
121,5.979676
122,4.109698
123,6.796367
124,1.866513
125,6.200862
126,1.790798
127,6.560966
128,5.066037
129,1.159482
130,3.729228
131,5.603470
132,4.810030
133,3.189633
134,2.983425
135,6.436959
136,3.341373
137,2.703014
138,3.485149
139,6.985301
140,5.833391
141,6.781154
142,4.473092
143,3.934100
144,1.343139
145,1.850477
146,5.295588
147,6.663213
148,6.095192
149,2.337697
150,3.622116
151,4.791968
152,4.212225
153,7.156803
154,1.734237
155,0.863593
156,7.062076
157,5.480007
158,6.357213
159,6.869124
160,3.795631
161,1.534176
162,5.047965
163,1.950957
164,6.580468
165,5.701899
166,3.215200
167,4.540319
168,2.997044
169,0.902081
170,2.581917
171,1.055449
172,4.034978
173,3.414627
174,5.244915
175,5.957906
176,0.818491
177,7.317552
178,1.738891
179,2.739339
180,7.363896
181,1.569748
182,7.127803
183,3.623976
184,6.766783
185,6.218150
186,4.844245
187,5.417425
188,4.337274
189,0.884868
190,2.200331
191,6.923401
192,5.086431
193,7.254027
194,7.318130
195,6.448303
196,0.917015
197,3.856563
198,5.601272
199,4.635360
200,3.089683
201,1.179518
202,1.545110
203,6.610276
204,5.255714
205,7.462461
206,1.876782
207,5.834343
208,1.015944
209,2.821506
210,3.595524
211,2.607180
212,4.935640
213,7.300792
214,7.059160
215,3.300664
216,5.416619
217,4.146551
218,7.457912
219,4.438700
220,6.285620
221,0.889803
222,1.288604
223,6.732772
224,6.054519
225,2.365793
226,5.583727
227,1.609334
228,5.154152
229,7.253004
230,7.472591
231,3.872824
232,0.945353
233,6.452100
234,2.083714
235,6.892465
236,4.976613
237,4.785869
238,1.109232
239,5.807357
240,1.306673
241,5.429472
242,4.181181
243,5.319714
244,5.999956
245,1.809908
246,7.686328
247,6.589849
248,2.922335
249,2.704509
250,3.189914
251,4.476901
252,0.942892
253,7.127170
254,6.203892
255,7.542047
256,7.640398
257,2.520481
258,5.616148
259,5.154952
260,1.009129
261,3.505494
262,1.150938
263,1.335475
264,6.767999
265,6.371651
266,4.730929
267,5.809682
268,3.850308
269,7.816737
270,5.321524
271,0.947357
272,2.085715
273,7.445313
274,1.147402
275,6.516261
276,4.180240
277,1.090376
278,6.016437
279,2.296312
280,7.021636
281,4.913082
282,7.865937
283,7.828298
284,1.165991
285,5.487661
286,6.216000
287,0.960241
288,4.449238
289,1.429958
290,2.664631
291,7.677923
292,5.084252
293,3.061932
294,6.689258
295,5.687465
296,7.295053
297,6.367000
298,1.108854
299,1.166395
300,7.942844
301,4.641882
302,5.880367
303,8.077962
304,6.884138
305,5.258019
306,1.732037
307,2.783956
308,1.008879
309,1.195163
310,1.237564
311,3.771474
312,3.351202
313,6.107939
314,2.464203
315,7.956921
316,1.258464
317,5.484466
318,2.299754
319,6.620071
320,6.514961
321,6.293440
322,7.581412
323,1.061441
324,4.345088
325,1.200922
326,1.004237
327,7.960141
328,4.765879
329,4.086577
330,5.736348
331,7.140585
332,4.966490
333,1.422011
334,7.980558
335,2.045617
336,6.460775
337,6.784294
338,1.139306
339,6.177071
340,1.308945
341,8.021396
342,0.838939
343,2.675981
344,6.535745
345,1.375997
346,6.010138
347,4.535878
348,5.446102
349,2.886557
350,3.221238
351,2.548750
352,7.759488
353,5.185033
354,7.374534
355,1.156793
356,0.763663
357,7.931169
358,4.675466
359,3.603328
360,1.275963
361,2.444162
362,6.972736
363,1.388059
364,6.618986
365,6.376584
366,3.984111
367,0.936487
368,2.285254
369,5.727051
370,1.727628
371,7.975971
372,6.486132
373,7.543723
374,1.429338
375,4.817686
376,4.265804
377,6.720135
378,0.746717
379,1.399028
380,7.802989
381,5.974390
382,7.175146
383,7.871403
384,1.430583
385,6.562093
386,5.058635
387,4.454540
388,6.195880
389,1.087460
390,2.562163
391,6.869049
392,5.353971
393,3.067300
394,6.628611
395,1.489680
396,4.587030
397,2.378674
398,1.497105
399,0.811827
400,6.348720
401,1.983339
402,7.994003
403,1.394663
404,2.415018
405,2.705414
406,5.629408
407,3.855026
408,6.465919
409,0.700038
410,6.733121
411,7.601069
412,1.715591
413,7.782037
414,3.425342
415,7.362746
416,0.850801
417,5.888276
418,4.951008
419,1.620409
420,0.986775
421,4.740417
422,4.388331
423,7.924626
424,7.110598
425,1.447282
426,2.225460
427,6.628402
428,4.176848
429,6.538246
430,1.239214
431,6.257950
432,1.637312
433,7.502318
434,6.075926
435,6.928444
436,7.671377
437,8.024732
438,1.527979
439,1.316127
440,7.299519
441,5.525995
442,5.225170
443,0.537482
444,1.996494
445,7.816096
446,6.357012
447,4.532518
448,2.610479
449,7.114863
450,1.658617
451,2.930545
452,2.394220
453,6.800984
454,3.310159
455,4.691729
456,0.590795
457,0.495256
458,1.002975
459,2.230585
460,1.713409
461,3.692329
462,6.476910
463,5.682823
464,7.652549
465,1.735183
466,7.513031
467,8.020818
468,1.422139
469,6.983360
470,1.338459
471,4.890480
472,7.790204
473,4.019954
474,2.246700
475,5.879358
476,7.358925
477,0.584025
478,4.289281
