vertex_id,distance
0,1.937258
1,2.014153
2,2.094364
3,2.188505
4,1.867542
5,1.757405
6,1.688594
7,2.302117
8,1.627181
9,1.901480
10,1.998924
11,1.580959
12,2.109953
13,2.409057
14,1.763413
15,1.695805
16,2.234443
17,1.745438
18,1.623889
19,1.523288
20,2.573731
21,1.545484
22,1.854348
23,2.052711
24,2.477692
25,1.517694
26,1.473745
27,2.517673
28,2.447601
29,1.640275
30,1.599700
31,2.211157
32,1.694935
33,2.409621
34,1.580165
35,2.548481
36,1.785975
37,1.442888
38,1.437196
39,1.582984
40,2.342965
41,1.934555
42,2.537893
43,2.593689
44,1.422305
45,2.718617
46,1.629741
47,2.101554
48,2.407031
49,1.552516
50,2.420769
51,1.598240
52,1.661773
53,1.580339
54,1.424639
55,2.635297
56,1.729073
57,1.473497
58,1.385620
59,2.428568
60,2.229956
61,1.850155
62,2.722523
63,2.576837
64,1.574218
65,2.000686
66,2.294452
67,1.340418
68,1.549906
69,2.571125
70,2.636267
71,2.446091
72,1.598715
73,1.640018
74,1.688095
75,2.322340
76,2.118159
77,2.640818
78,2.512480
79,2.603266
80,1.570413
81,1.614912
82,1.392299
83,1.466507
84,1.781589
85,1.237490
86,2.572409
87,1.557377
88,2.568445
89,2.572668
90,2.349110
91,2.182440
92,1.906441
93,2.521299
94,1.448734
95,1.287105
96,1.660890
97,2.599021
98,1.343446
99,1.533315
100,2.549495
101,2.401218
102,1.597497
103,2.217847
104,2.008870
105,1.614803
106,1.568524
107,2.572230
108,1.260898
109,2.455572
110,2.542104
111,1.542857
112,2.460915
113,1.723788
114,1.841401
115,2.252284
116,2.477301
117,2.499917
118,1.526443
119,1.558129
120,2.050163
121,2.462032
122,2.124152
123,2.540353
124,1.450486
125,2.424358
126,1.360945
127,2.542833
128,2.370359
129,1.394418
130,1.903311
131,2.462551
132,2.287919
133,1.587419
134,1.568475
135,2.407430
136,1.617521
137,1.544334
138,1.679190
139,2.532624
140,2.390040
141,2.517828
142,2.150762
143,1.967898
144,1.301049
145,1.497076
146,2.394393
147,2.418492
148,2.328277
149,1.514873
150,1.747330
151,2.215742
152,2.009911
153,2.522810
154,1.463401
155,1.680169
156,2.450884
157,2.371550
158,2.298627
159,2.435992
160,1.822773
161,1.315023
162,2.270973
163,1.493998
164,2.308578
165,2.311010
166,1.589570
167,2.052130
168,1.562527
169,1.614434
170,1.537401
171,1.457189
172,1.864821
173,1.634182
174,2.301613
175,2.257066
176,1.758980
177,2.516895
178,1.485791
179,1.546987
180,2.529400
181,1.404652
182,2.418946
183,1.694198
184,2.322506
185,2.229332
186,2.094548
187,2.302190
188,1.897955
189,1.665874
190,1.519454
191,2.350519
192,2.161317
193,2.414410
194,2.388930
195,2.223550
196,1.589290
197,1.744978
198,2.271598
199,1.938994
200,1.572637
201,1.382315
202,1.469041
203,2.245269
204,2.209516
205,2.528382
206,1.507531
207,2.236569
208,1.479644
209,1.547249
210,1.658076
211,1.539933
212,1.988768
213,2.430994
214,2.365277
215,1.603701
216,2.238402
217,1.765694
218,2.500286
219,1.812774
220,2.202020
221,1.765119
222,1.380302
223,2.267037
224,2.218390
225,1.538991
226,2.255232
227,1.505820
228,2.044962
229,2.409018
230,2.522025
231,1.690821
232,1.756571
233,2.205533
234,1.543912
235,2.305245
236,1.907778
237,1.838400
238,1.406855
239,2.261598
240,1.444957
241,2.179014
242,1.726560
243,2.095691
244,2.251842
245,1.546829
246,2.555382
247,2.222056
248,1.560277
249,1.527201
250,1.596301
251,1.755377
252,1.612946
253,2.352123
254,2.239451
255,2.466231
256,2.568722
257,1.511637
258,2.243136
259,1.953643
260,1.881969
261,1.630149
262,1.428675
263,1.508116
264,2.250448
265,2.231281
266,1.792811
267,2.288584
268,1.663633
269,2.576501
270,2.040511
271,1.492652
272,1.545801
273,2.392090
274,1.857387
275,2.226483
276,1.699695
277,1.962807
278,2.311525
279,1.506954
280,2.283856
281,1.847452
282,2.496975
283,2.655229
284,1.491834
285,2.126604
286,2.312888
287,1.449745
288,1.741923
289,1.573671
290,1.500349
291,2.411441
292,1.922429
293,1.595350
294,2.232400
295,2.225978
296,2.319450
297,2.299905
298,1.727331
299,1.880177
300,2.574785
301,1.792290
302,2.299099
303,2.516646
304,2.245498
305,2.005696
306,1.584943
307,1.542872
308,1.479929
309,2.038529
310,1.557653
311,1.649489
312,1.620867
313,2.356029
314,1.427679
315,2.521481
316,1.826192
317,2.105338
318,1.446827
319,2.263153
320,2.308389
321,2.382292
322,2.331741
323,1.537877
324,1.742491
325,1.980723
326,1.595605
327,2.424102
328,1.871963
329,1.692523
330,2.207799
331,2.262134
332,1.936253
333,1.601754
334,2.584705
335,1.498500
336,2.407673
337,2.256946
338,1.674401
339,2.372343
340,2.079848
341,2.503465
342,1.523104
343,1.517816
344,2.383400
345,1.958346
346,2.303043
347,1.833210
348,2.097442
349,1.579323
350,1.610254
351,1.426570
352,2.346400
353,2.026688
354,2.274301
355,1.587866
356,1.520797
357,2.438429
358,1.902572
359,1.639423
360,1.771486
361,1.352563
362,2.251102
363,2.069578
364,2.352296
365,2.446843
366,1.700631
367,1.572559
368,1.353487
369,2.185395
370,1.540400
371,2.449519
372,2.483503
373,2.289366
374,1.586378
375,1.966970
376,1.788425
