vertex_id,distance
0,2.177174
1,2.173072
2,2.174692
3,2.185397
4,2.179674
5,2.199697
6,2.208219
7,2.212700
8,2.191696
9,2.158142
10,2.293218
11,2.138902
12,2.156167
13,2.261330
14,2.199121
15,2.207385
16,2.203793
17,2.299242
18,2.219487
19,2.045107
20,2.398186
21,2.238642
22,2.244555
23,2.244972
24,2.335204
25,2.144839
26,1.929529
27,2.395626
28,2.349652
29,2.256747
30,2.342468
31,2.203666
32,2.178585
33,2.321208
34,2.398623
35,2.471295
36,2.111147
37,2.066592
38,1.811899
39,2.383439
40,2.236829
41,2.074380
42,2.471233
43,2.549213
44,1.936289
45,2.642189
46,2.142156
47,2.077881
48,2.327027
49,2.264017
50,2.435728
51,2.260879
52,2.032213
53,2.351444
54,1.662567
55,2.615899
56,1.953418
57,2.121321
58,1.791737
59,2.450013
60,2.148088
61,1.921076
62,2.650619
63,2.658020
64,2.337257
65,1.955294
66,2.275154
67,1.945713
68,2.263915
69,2.624751
70,2.666982
71,2.565822
72,2.142081
73,1.895596
74,1.829511
75,2.424605
76,2.056694
77,2.740090
78,2.662835
79,2.666250
80,2.243831
81,1.985734
82,1.584039
83,2.111374
84,1.821537
85,1.773462
86,2.700845
87,2.260841
88,2.651051
89,2.718587
90,2.565875
91,2.216220
92,1.886618
93,2.678470
94,1.448003
95,1.643140
96,1.786743
97,2.743350
98,1.929675
99,2.194820
100,2.624396
101,2.655919
102,1.899449
103,2.392667
104,2.018016
105,1.809850
106,2.006176
107,2.754998
108,1.779250
109,2.698082
110,2.600920
111,2.090984
112,2.691182
113,1.820388
114,1.898853
115,2.537070
116,2.691004
117,2.695238
118,2.120995
119,1.276106
120,2.192864
121,2.721204
122,2.343938
123,2.583775
124,2.009627
125,2.707245
126,1.891243
127,2.623087
128,2.643712
129,1.394324
130,2.058199
131,2.662240
132,2.605668
133,1.785115
134,1.814388
135,2.655117
136,1.813607
137,1.869336
138,1.885005
139,2.588045
140,2.627158
141,2.594226
142,2.497264
143,2.222007
144,1.555588
145,2.027387
146,2.606286
147,2.592405
148,2.590765
149,1.914691
150,2.013088
151,2.566575
152,2.374209
153,2.613909
154,1.945940
155,1.088930
156,2.603540
157,2.557462
158,2.542738
159,2.560033
160,2.146602
161,1.692165
162,2.567668
163,1.920077
164,2.510784
165,2.511939
166,1.858081
167,2.481890
168,1.778698
169,1.226894
170,1.756416
171,1.371040
172,2.290611
173,1.973616
174,2.524956
175,2.482662
176,0.975087
177,2.668715
178,1.910298
179,1.729150
180,2.607364
181,1.789587
182,2.580946
183,2.103016
184,2.506281
185,2.462241
186,2.522910
187,2.477605
188,2.406885
189,1.067519
190,1.756733
191,2.551332
192,2.513379
193,2.645146
194,2.724091
195,2.452205
196,1.238523
197,2.235601
198,2.440077
199,2.474343
200,1.880702
201,1.446613
202,1.830503
203,2.480378
204,2.475287
205,2.755189
206,1.785215
207,2.422260
208,1.319152
209,1.760950
210,2.144077
211,1.678819
212,2.493537
213,2.785153
214,2.677378
215,2.016907
216,2.430614
217,2.347107
218,2.819097
219,2.418585
220,2.436364
221,0.922843
222,1.568882
223,2.573894
224,2.419360
225,1.636316
226,2.409495
227,1.782063
228,2.467102
229,2.847193
230,2.901642
231,2.250663
232,1.046536
233,2.495022
234,1.647298
235,2.722699
236,2.452254
237,2.440654
238,1.414382
239,2.406804
240,1.674259
241,2.407422
242,2.327531
243,2.419730
244,2.419296
245,1.685141
246,2.973516
247,2.601001
248,1.837771
249,1.703972
250,1.975880
251,2.366686
252,1.128053
253,2.891279
254,2.446762
255,3.036625
256,3.017468
257,1.609423
258,2.386257
259,2.396434
260,0.783790
261,2.090761
262,1.540244
263,1.718336
264,2.746199
265,2.502646
266,2.356659
267,2.388662
268,2.175754
269,3.061306
270,2.363562
271,1.221601
272,1.574261
273,3.087428
274,0.867365
275,2.596996
276,2.225798
277,0.743545
278,2.398966
279,1.544299
280,2.930702
281,2.311828
282,3.225107
283,3.122197
284,1.640558
285,2.333085
286,2.420652
287,1.354580
288,2.223429
289,1.687425
290,1.625468
291,3.216044
292,2.276158
293,1.843097
294,2.744676
295,2.331942
296,3.090061
297,2.464572
298,0.961148
299,0.782246
300,3.148691
301,2.199782
302,2.335345
303,3.325816
304,2.901162
305,2.249417
306,1.617372
307,1.674793
308,1.523784
309,0.770620
310,1.680425
311,2.015946
312,1.885644
313,2.335625
314,1.494495
315,3.235096
316,0.877457
317,2.235586
318,1.492425
319,2.679616
320,2.536027
321,2.353662
322,3.285125
323,1.629285
324,2.050005
325,0.756096
326,1.005245
327,3.389273
328,2.088438
329,1.987534
330,2.245504
331,3.114401
332,2.110911
333,1.657268
334,3.293577
335,1.526518
336,2.384430
337,2.881385
338,0.909866
339,2.267514
340,0.865507
341,3.298507
342,1.121484
343,1.505008
344,2.474647
345,0.821876
346,2.231960
347,1.964649
348,2.130854
349,1.588645
350,1.691544
351,1.430482
352,3.428317
353,2.067261
354,3.303166
355,1.661399
356,1.308144
357,3.489146
358,1.931116
359,1.747158
360,0.838328
361,1.398686
362,3.094523
363,0.823054
364,2.630169
365,2.257484
366,1.797853
367,0.975038
368,1.426294
369,2.117571
370,1.578034
371,3.402179
372,2.304604
373,3.446280
374,1.632877
375,1.893219
376,1.798032
377,2.827138
378,1.467624
379,0.904322
380,3.525827
381,2.141780
382,3.286070
383,3.455549
384,0.857635
385,2.406966
386,1.917156
387,1.775132
388,2.167622
389,0.858194
390,1.294772
391,3.041471
392,1.960034
393,1.441796
394,2.563573
395,0.953671
396,1.750889
397,1.296239
398,1.028666
399,1.596049
400,2.197094
401,1.482824
402,3.478602
403,0.784975
404,1.222152
405,1.286279
406,1.999411
407,1.592720
408,2.263159
409,1.066467
410,2.787525
411,3.578400
412,1.547650
413,3.610695
414,1.471372
415,3.478441
416,0.928834
417,2.052300
418,1.780902
419,1.074488
420,1.640626
421,1.716150
422,1.640879
423,3.557132
424,3.293405
425,0.854881
426,1.329897
427,2.507750
428,1.594318
429,2.369250
430,0.750184
431,2.167392
432,1.179330
433,3.587538
434,2.099270
435,3.038411
436,3.650834
437,3.545041
438,0.981335
439,1.601172
440,3.454332
441,1.911330
442,1.814967
443,1.230752
444,1.412677
445,3.636506
446,2.248435
447,1.598343
448,1.099151
449,3.244746
450,1.137814
451,1.196703
452,1.047786
453,2.765882
454,1.304730
455,1.624697
456,1.074122
457,1.423216
458,0.771416
459,1.146752
460,1.479686
461,1.394866
462,2.373260
463,1.948406
464,3.692264
465,1.242961
466,3.611276
467,3.653146
468,0.842712
469,2.994028
470,0.749337
471,1.662408
472,3.732113
473,1.450076
474,1.029078
475,2.034126
476,3.457554
477,1.559372
478,1.496102
479,3.695480
480,2.541323
481,1.180979
482,0.909199
483,1.721467
484,2.127330
485,1.268378
486,1.267656
487,1.379746
488,3.236545
489,1.796966
490,1.346647
491,1.591463
492,2.759584
493,2.235009
494,0.965948
495,1.241956
