source_vertex_id,distance_to_surface
0,0.136077
1,0.470599
2,0.544995
3,0.394135
4,0.084838
5,0.559463
6,0.662863
7,0.131553
8,0.343563
9,0.101450
10,0.038635
11,0.056890
12,0.022813
13,0.009899
14,0.081711
15,0.059354
16,0.109949
17,0.296002
18,0.193309
19,0.430042
20,0.094951
21,0.030852
22,0.124197
23,0.067371
24,1.360757
25,0.818563
26,0.668657
27,0.026776
28,0.022179
29,0.023538
30,0.040714
31,0.004905
32,0.020522
33,1.846074
34,1.062834
35,2.330004
36,1.530657
37,0.018504
38,0.019300
39,0.017146
40,0.023969
41,0.030332
42,0.057611
43,0.043429
44,0.046437
45,0.002700
46,0.111549
47,0.098634
48,0.265713
49,0.006917
50,0.095759
51,0.199581
52,2.773648
53,1.937935
54,0.277574
55,0.002512
56,0.020096
57,0.043652
58,0.038161
59,0.027966
60,0.010342
61,0.079125
62,0.009854
63,0.026833
64,0.005985
65,0.002835
66,0.000016
67,0.036327
68,0.003760
69,0.012806
70,0.005285
71,0.036125
72,0.007459
73,0.018435
74,0.024749
75,0.013595
76,0.033785
77,0.027791
78,0.052955
79,0.045118
80,0.075052
81,0.010513
82,0.064895
83,0.016838
84,0.020979
85,0.091716
86,0.096942
87,0.042064
88,0.018227
89,0.677272
90,0.356193
91,0.936496
92,3.144522
93,2.320466
94,0.007288
95,0.019150
96,0.004276
97,0.009673
98,0.011653
99,0.045374
100,0.022032
101,0.006542
102,0.023258
103,0.049303
104,0.024374
105,3.474555
106,2.925394
107,2.843513
108,3.424839
109,2.985409
110,2.939471
111,2.727873
112,3.286340
113,0.014252
114,0.023844
115,0.011381
116,0.010680
117,0.022425
118,0.030216
119,0.020542
120,0.003402
121,0.011586
122,3.373282
123,2.979523
124,3.595103
125,3.181152
126,0.011054
127,0.021252
128,0.023747
129,0.008785
130,0.030404
131,0.023480
132,0.006555
133,0.011910
134,4.333325
135,3.291369
136,3.924430
137,4.452989
138,3.351397
139,3.195297
140,0.012522
141,0.023039
142,0.019477
143,0.015023
144,0.001029
145,0.008454
146,0.004163
147,0.008635
148,0.019155
149,0.008202
150,0.054706
151,0.000941
152,0.019324
153,0.006937
154,0.007791
155,0.007403
156,0.005806
157,0.011954
158,0.008440
159,0.286918
160,0.035152
161,0.043551
162,0.028902
163,0.000634
164,0.062471
165,0.000945
166,0.008246
167,0.369008
168,0.024625
169,1.955748
170,2.949591
171,3.357735
172,0.008315
173,0.003824
174,0.739085
175,0.534329
176,0.517988
177,0.829511
178,0.472939
179,0.600561
180,0.895644
181,1.184714
182,0.484339
183,0.737845
184,1.089958
185,0.462579
186,0.502967
187,0.921518
188,0.289466
189,0.342630
190,0.283852
191,0.458540
192,0.722107
193,1.153982
194,1.065273
195,1.608774
196,1.500673
197,1.349521
198,0.797147
199,1.180101
200,0.577931
201,0.031666
202,0.258787
203,0.366998
204,0.240215
205,0.395742
206,0.622068
207,0.874498
208,1.404666
209,1.178261
210,1.883121
211,1.860302
212,1.702220
213,1.571962
214,1.522206
215,1.400100
216,1.369664
217,0.899812
218,1.203488
219,0.565396
220,0.773031
221,0.715761
222,0.136652
223,0.024647
224,0.134326
225,0.420243
226,0.117744
227,0.215393
228,0.327745
229,0.479816
230,0.728744
231,0.954186
232,1.443107
233,1.178394
234,1.951200
235,1.871359
236,1.659393
237,1.722959
238,1.533460
239,1.259414
240,0.836946
241,1.065102
242,0.469044
243,1.363627
244,1.215994
245,1.069808
246,0.191757
247,0.068855
248,0.740973
249,0.020012
250,0.043611
251,0.079408
252,0.095751
