# Face Region Partition Results
# Total vertices: 7160
# Vertex order: Original OBJ file order
# Format: vertex_index, region_label
#
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,6
178,3
179,3
180,6
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,6
194,6
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,6
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,6
214,6
215,3
216,3
217,3
218,6
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,6
230,6
231,3
232,3
233,3
234,3
235,6
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,6
247,3
248,3
249,3
250,3
251,3
252,3
253,6
254,3
255,6
256,6
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,6
265,3
266,3
267,3
268,3
269,6
270,3
271,3
272,3
273,6
274,3
275,3
276,3
277,2
278,3
279,3
280,6
281,3
282,6
283,6
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,6
292,3
293,3
294,6
295,3
296,6
297,3
298,3
299,3
300,6
301,3
302,3
303,6
304,6
305,3
306,3
307,3
308,3
309,2
310,3
311,3
312,3
313,3
314,3
315,6
316,3
317,3
318,3
319,6
320,3
321,3
322,6
323,3
324,3
325,2
326,3
327,6
328,3
329,3
330,3
331,6
332,3
333,3
334,6
335,3
336,3
337,6
338,3
339,3
340,2
341,6
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,6
353,3
354,6
355,3
356,3
357,6
358,3
359,3
360,3
361,3
362,6
363,2
364,6
365,3
366,3
367,3
368,3
369,3
370,3
371,6
372,3
373,6
374,3
375,3
376,3
377,6
378,3
379,2
380,6
381,3
382,6
383,6
384,2
385,3
386,3
387,3
388,3
389,3
390,3
391,6
392,3
393,3
394,6
395,2
396,3
397,3
398,2
399,3
400,3
401,3
402,6
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,6
411,6
412,3
413,6
414,3
415,6
416,3
417,3
418,3
419,2
420,3
421,3
422,3
423,6
424,6
425,2
426,3
427,6
428,3
429,3
430,3
431,3
432,2
433,6
434,3
435,6
436,6
437,6
438,2
439,3
440,6
441,3
442,3
443,3
444,3
445,6
446,3
447,3
448,3
449,6
450,2
451,3
452,3
453,6
454,3
455,3
456,3
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,6
465,2
466,6
467,6
468,2
469,6
470,3
471,3
472,6
473,3
474,3
475,3
476,6
477,3
478,3
479,6
480,6
481,2
482,3
483,3
484,3
485,3
486,2
487,2
488,6
489,3
490,3
491,3
492,6
493,3
494,3
495,3
496,2
497,3
498,3
499,3
500,3
501,3
502,2
503,6
504,6
505,3
506,6
507,6
508,6
509,3
510,3
511,6
512,2
513,3
514,3
515,3
516,3
517,3
518,3
519,2
520,3
521,6
522,3
523,3
524,6
525,2
526,6
527,3
528,3
529,3
530,6
531,3
532,2
533,3
534,6
535,6
536,3
537,3
538,2
539,3
540,6
541,6
542,6
543,3
544,3
545,3
546,2
547,2
548,3
549,2
550,6
551,6
552,3
553,3
554,3
555,2
556,3
557,3
558,3
559,6
560,6
561,3
562,6
563,6
564,3
565,2
566,6
567,3
568,3
569,3
570,3
571,3
572,6
573,3
574,6
575,2
576,2
577,3
578,3
579,3
580,6
581,2
582,3
583,6
584,3
585,6
586,3
587,3
588,3
589,3
590,3
591,3
592,6
593,3
594,2
595,3
596,3
597,3
598,2
599,2
600,3
601,3
602,6
603,2
604,2
605,2
606,6
607,3
608,6
609,6
610,6
611,3
612,6
613,3
614,6
615,3
616,6
617,3
618,3
619,2
620,3
621,3
622,3
623,6
624,2
625,3
626,3
627,2
628,2
629,3
630,3
631,6
632,3
633,3
634,6
635,3
636,6
637,3
638,3
639,2
640,3
641,6
642,6
643,6
644,2
645,3
646,6
647,3
648,3
649,3
650,2
651,3
652,6
653,3
654,3
655,6
656,3
657,2
658,3
659,3
660,3
661,6
662,2
663,6
664,3
665,3
666,6
667,2
668,3
669,6
670,6
671,6
672,2
673,2
674,3
675,2
676,2
677,6
678,2
679,3
680,3
681,6
682,3
683,3
684,3
685,6
686,3
687,6
688,6
689,2
690,6
691,3
692,2
693,3
694,3
695,3
696,6
697,3
698,3
699,6
700,1
701,3
702,2
703,6
704,3
705,3
706,3
707,2
708,3
709,2
710,3
711,3
712,3
713,2
714,2
715,2
716,6
717,3
718,6
719,3
720,6
721,6
722,3
723,6
724,2
725,3
726,3
727,6
728,2
729,6
730,3
731,6
732,3
733,2
734,3
735,1
736,6
737,3
738,2
739,3
740,3
741,3
742,6
743,3
744,2
745,6
746,3
747,6
748,3
749,1
750,3
751,6
752,3
753,6
754,2
755,3
756,2
757,3
758,3
759,3
760,2
761,2
762,1
763,3
764,3
765,3
766,2
767,3
768,6
769,6
770,3
771,6
772,3
773,6
774,6
775,3
776,3
777,6
778,3
779,2
780,2
781,6
782,3
783,2
784,6
785,6
786,2
787,6
788,2
789,3
790,3
791,3
792,1
793,3
794,3
795,6
796,6
797,3
798,2
799,6
800,6
801,3
802,3
803,3
804,3
805,3
806,1
807,1
808,6
809,6
810,2
811,2
812,6
813,6
814,3
815,2
816,3
817,2
818,3
819,3
820,2
821,3
822,3
823,3
824,3
825,3
826,6
827,6
828,3
829,3
830,6
831,6
832,3
833,2
834,2
835,6
836,6
837,2
838,6
839,3
840,2
841,6
842,6
843,3
844,6
845,3
846,3
847,6
848,3
849,3
850,6
851,6
852,3
853,3
854,1
855,1
856,1
857,3
858,2
859,3
860,3
861,6
862,3
863,3
864,3
865,3
866,3
867,3
868,2
869,2
